Language;Русский
Add;Добавить 
Remove;Удалить
From;От
To;До
Primary;Первичные
Secondary;Вторичные
This year;Этого года
Select color;Выберите цвет
Add holydays;Добавить выходные
Save screen;Сохранить скриншот
Timer;Таймер
Edit mode;Режим редактирования
Settings;Настройки
Feedback;Обратная связь
Physical education;Физкультура
History;История
Geography;География
Algebra;Алгебра
Biology;Биология
Russian language;Русский язык
Geometry;Геометрия
Chemistry;Химия
Social studies;Обществознание
German language;Немецкий язык
Technology;Технология
Physics;Физика
English language;Английский язык
Literature;Литература
Life safety;ОБЖ
Music;Музыка
Native language;Родной язык
Informatics;Информатика
Isn't set;Не задано
Sports form;Спортивная форма
Repeat the last §;Повторить последний §
Repeat the rules;Повтрорить правила
Cancel;Отмена
Done;Готово
Other;Другое
On pages;На страницах
Numbers;Номера
Paragraphs;Параграфы
Doesn't work in edit mode;Не работает в режиме редактирования
In the develop;В разработке
Save changes;Сохранить изменения?
Topic;Тема
Сommunication;Средсво связи
Message;Сообщение
Send;Отправить
Skip;Пропустить
work;работу
rest;отдых
Reset timer;Сбросить таймер
Counter;Счетчик
Pause in end;Пауза в конце
Work time;Время работы
Rest time;Время отдыха
Timer settings;Настройки таймера
Сycle;Цикл
Lesson;Урок
Error;Ошибка
Review;Отзыв
I want to talk;Я хочу поговорить
Yes;Да
No;Нет
The language file;Языковой файл был успешно создан. Вы можете найти его в 
Language name;Название языка
Add language;Добавить язык
Enter the task;Введите задание
Empty task;Пустое задание
This task has already been added;Это задание уже добавлено
