Language;English
Add;Add
Remove;Remove
From;From
To;To
Primary;Primary
Secondary;Secondary
This year;This year
Select color;Select color
Add holydays;Add holydays
Save screen;Save screenshot
Timer;Timer
Edit mode;Edit mode
Settings;Settings
Feedback;Feedback
Physical education;Physical education
History;History
Geography;Geography
Algebra;Algebra
Biology;Biology
Russian language;Russian language
Geometry;Geometry
Chemistry;Chemistry
Social studies;Social studies
German language;German language
Technology;Technology
Physics;Physics
English language;English language
Literature;Literature
Life safety;Life safety
Music;Music
Native language;Native language
Informatics;Informatics
Isn't set;Isn't set
Sports form;Sports form
Repeat the last §;Repeat the last §
Repeat the rules;Repeat the rules
